#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A80071
#Date Time: 2019-03-02 12:19:27.780
#Sample rate: 400Hz
#Samples: 2700
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.65 V

Time (s),Channel 1 (V)
-9.815,1.7424
-9.8125,1.7451
-9.81,1.7478
-9.8075,1.74915
-9.805,1.7478
-9.8025,1.74611
-9.8,1.74342
-9.7975,1.73802
-9.795,1.7424
-9.7925,1.74679
-9.79,1.74881
-9.7875,1.74578
-9.785,1.72488
-9.7825,1.73836
-9.78,1.73634
-9.7775,1.74038
-9.775,1.74342
-9.7725,1.74106
-9.77,1.74005
-9.7675,1.73802
-9.765,1.73195
-9.7625,1.73431
-9.76,1.73769
-9.7575,1.73903
-9.755,1.73769
-9.7525,1.736
-9.75,1.73364
-9.7475,1.72791
-9.745,1.73465
-9.7425,1.73903
-9.74,1.72993
-9.7375,1.72218
-9.735,1.7333
-9.7325,1.72926
-9.73,1.7269
-9.7275,1.73128
-9.725,1.73398
-9.7225,1.73195
-9.72,1.73094
-9.7175,1.72993
-9.715,1.72386
-9.7125,1.72656
-9.71,1.72926
-9.7075,1.73061
-9.705,1.72926
-9.7025,1.72858
-9.7,1.7269
-9.6975,1.7242
-9.695,1.7296
-9.6925,1.71746
-9.69,1.7215
-9.6875,1.7269
-9.685,1.72757
-9.6825,1.72319
-9.68,1.72117
-9.6775,1.72454
-9.675,1.72724
-9.6725,1.72285
-9.67,1.72386
-9.6675,1.72454
-9.665,1.7178
-9.6625,1.72083
-9.66,1.72218
-9.6575,1.72319
-9.655,1.72016
-9.6525,1.7215
-9.65,1.72353
-9.6475,1.71813
-9.645,1.70094
-9.6425,1.72049
-9.64,1.71948
-9.6375,1.71881
-9.635,1.72016
-9.6325,1.71577
-9.63,1.71409
-9.6275,1.71679
-9.625,1.71982
-9.6225,1.7151
-9.62,1.71645
-9.6175,1.71679
-9.615,1.71072
-9.6125,1.71341
-9.61,1.71544
-9.6075,1.71645
-9.605,1.71476
-9.6025,1.7178
-9.6,1.71611
-9.5975,1.68712
-9.595,1.71105
-9.5925,1.71375
-9.59,1.71207
-9.5875,1.71173
-9.585,1.71173
-9.5825,1.70802
-9.58,1.70566
-9.5775,1.70903
-9.575,1.7124
-9.5725,1.70937
-9.57,1.70937
-9.5675,1.7087
-9.565,1.70263
-9.5625,1.70532
-9.56,1.70802
-9.5575,1.71072
-9.555,1.71139
-9.5525,1.70634
-9.55,1.68881
-9.5475,1.69858
-9.545,1.70364
-9.5425,1.70634
-9.54,1.70532
-9.5375,1.70465
-9.535,1.70398
-9.5325,1.69993
-9.53,1.69723
-9.5275,1.70162
-9.525,1.70465
-9.5225,1.70195
-9.52,1.70128
-9.5175,1.7006
-9.515,1.6942
-9.5125,1.69622
-9.51,1.70162
-9.5075,1.70398
-9.505,1.69117
-9.5025,1.6851
-9.5,1.69555
-9.4975,1.68982
-9.495,1.69454
-9.4925,1.69757
-9.49,1.6969
-9.4875,1.69622
-9.485,1.69487
-9.4825,1.69117
-9.48,1.68847
-9.4775,1.69319
-9.475,1.69622
-9.4725,1.69454
-9.47,1.69386
-9.4675,1.69251
-9.465,1.68645
-9.4625,1.69184
-9.46,1.69589
-9.4575,1.67836
-9.455,1.68544
-9.4525,1.68948
-9.45,1.68746
-9.4475,1.68206
-9.445,1.68678
-9.4425,1.69015
-9.44,1.69049
-9.4375,1.68948
-9.435,1.68813
-9.4325,1.68442
-9.43,1.68206
-9.4275,1.68678
-9.425,1.69015
-9.4225,1.68948
-9.42,1.68779
-9.4175,1.68678
-9.415,1.68476
-9.4125,1.68678
-9.41,1.66454
-9.4075,1.68948
-9.405,1.68847
-9.4025,1.68611
-9.4,1.68409
-9.3975,1.67869
-9.395,1.68341
-9.3925,1.68678
-9.39,1.68746
-9.3875,1.68678
-9.385,1.6851
-9.3825,1.68173
-9.38,1.67903
-9.3775,1.68409
-9.375,1.68746
-9.3725,1.68712
-9.37,1.68645
-9.3675,1.68712
-9.365,1.68139
-9.3625,1.6588
-9.36,1.68442
-9.3575,1.68678
-9.355,1.68645
-9.3525,1.68341
-9.35,1.68105
-9.3475,1.67566
-9.345,1.68072
-9.3425,1.68409
-9.34,1.68544
-9.3375,1.68442
-9.335,1.68206
-9.3325,1.67836
-9.33,1.67532
-9.3275,1.68105
