#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A80071
#Date Time: 2019-03-02 09:35:08.533
#Sample rate: 800Hz
#Samples: 6540
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V

Time (s),Channel 1 (V)
-4.37625,1.70739
-4.375,1.70369
-4.37375,1.70369
-4.3725,1.70369
-4.37125,1.69999
-4.37,1.69999
-4.36875,1.70369
-4.3675,1.70739
-4.36625,1.70739
-4.365,1.71109
-4.36375,1.71109
-4.3625,1.71479
-4.36125,1.71109
-4.36,1.70739
-4.35875,1.70739
-4.3575,1.70739
-4.35625,1.70369
-4.355,1.69999
-4.35375,1.69999
-4.3525,1.70369
-4.35125,1.70739
-4.35,1.71479
-4.34875,1.71479
-4.3475,1.71849
-4.34625,1.71849
-4.345,1.70739
-4.34375,1.66669
-4.3425,1.69259
-4.34125,1.70739
-4.34,1.70369
-4.33875,1.69999
-4.3375,1.69999
-4.33625,1.70369
-4.335,1.70739
-4.33375,1.70739
-4.3325,1.71109
-4.33125,1.71109
-4.33,1.71109
-4.32875,1.71109
-4.3275,1.71109
-4.32625,1.70739
-4.325,1.70739
-4.32375,1.70369
-4.3225,1.70369
-4.32125,1.69999
-4.32,1.70369
-4.31875,1.70739
-4.3175,1.70739
-4.31625,1.71109
-4.315,1.71109
-4.31375,1.71109
-4.3125,1.71479
-4.31125,1.71109
-4.31,1.70739
-4.30875,1.70739
-4.3075,1.70739
-4.30625,1.70369
-4.305,1.69999
-4.30375,1.70369
-4.3025,1.71109
-4.30125,1.71109
-4.3,1.71479
-4.29875,1.71479
-4.2975,1.68519
-4.29625,1.67409
-4.295,1.71479
-4.29375,1.70739
-4.2925,1.70739
-4.29125,1.70739
-4.29,1.70369
-4.28875,1.70369
-4.2875,1.69999
-4.28625,1.70369
-4.285,1.70739
-4.28375,1.70739
-4.2825,1.71109
-4.28125,1.71109
-4.28,1.71109
-4.27875,1.71109
-4.2775,1.71109
-4.27625,1.70739
-4.275,1.70739
-4.27375,1.70369
-4.2725,1.70369
-4.27125,1.69999
-4.27,1.69999
-4.26875,1.70739
-4.2675,1.70739
-4.26625,1.71109
-4.265,1.71109
-4.26375,1.71109
-4.2625,1.71109
-4.26125,1.71109
-4.26,1.70739
-4.25875,1.70739
-4.2575,1.70369
-4.25625,1.70739
-4.255,1.70739
-4.25375,1.70739
-4.2525,1.71109
-4.25125,1.71109
-4.25,1.66299
-4.24875,1.69259
-4.2475,1.71109
-4.24625,1.71109
-4.245,1.71109
-4.24375,1.70739
-4.2425,1.70739
-4.24125,1.70369
-4.24,1.70369
-4.23875,1.69999
-4.2375,1.69999
-4.23625,1.70369
-4.235,1.70369
-4.23375,1.70739
-4.2325,1.70739
-4.23125,1.71109
-4.23,1.71109
-4.22875,1.71109
-4.2275,1.71109
-4.22625,1.70739
-4.225,1.70739
-4.22375,1.70369
-4.2225,1.70369
-4.22125,1.69999
-4.22,1.69999
-4.21875,1.70369
-4.2175,1.70739
-4.21625,1.71109
-4.215,1.71109
-4.21375,1.71109
-4.2125,1.71479
-4.21125,1.71109
-4.21,1.70739
-4.20875,1.71109
-4.2075,1.71109
-4.20625,1.71109
-4.205,1.70739
-4.20375,1.68519
-4.2025,1.65929
-4.20125,1.70369
-4.2,1.70739
-4.19875,1.71109
-4.1975,1.71109
-4.19625,1.71109
-4.195,1.71109
-4.19375,1.71109
-4.1925,1.70739
-4.19125,1.70739
-4.19,1.70369
-4.18875,1.70369
-4.1875,1.69999
-4.18625,1.70369
-4.185,1.70369
-4.18375,1.70739
-4.1825,1.71109
-4.18125,1.71109
-4.18,1.71109
-4.17875,1.71109
-4.1775,1.71109
-4.17625,1.70739
-4.175,1.70739
-4.17375,1.70369
-4.1725,1.70369
-4.17125,1.69999
-4.17,1.70369
-4.16875,1.70369
-4.1675,1.70739
-4.16625,1.70739
-4.165,1.71109
-4.16375,1.71109
-4.1625,1.71479
-4.16125,1.71849
-4.16,1.71479
-4.15875,1.71479
-4.1575,1.71109
-4.15625,1.67039
-4.155,1.67039
-4.15375,1.69999
-4.1525,1.70369
-4.15125,1.70739
-4.15,1.70739
-4.14875,1.71109
-4.1475,1.71109
-4.14625,1.71109
-4.145,1.71109
-4.14375,1.70739
-4.1425,1.70739
-4.14125,1.70739
-4.14,1.70369
-4.13875,1.69999
-4.1375,1.69999
-4.13625,1.70369
-4.135,1.70369
-4.13375,1.70739
-4.1325,1.70739
-4.13125,1.71109
-4.13,1.71109
-4.12875,1.71109
-4.1275,1.71109
-4.12625,1.70739
-4.125,1.70739
-4.12375,1.70369
-4.1225,1.70369
-4.12125,1.69999
-4.12,1.70369
-4.11875,1.70369
-4.1175,1.70739
-4.11625,1.70739
-4.115,1.71479
-4.11375,1.71849
-4.1125,1.71849
-4.11125,1.71479
-4.11,1.70369
-4.10875,1.66299
-4.1075,1.69629
-4.10625,1.70369
-4.105,1.69999
-4.10375,1.69999
-4.1025,1.70369
-4.10125,1.70739
-4.1,1.70739
-4.09875,1.71109
-4.0975,1.71109
-4.09625,1.71109
-4.095,1.71109
-4.09375,1.70739
-4.0925,1.70739
-4.09125,1.70369
-4.09,1.70369
-4.08875,1.69999
-4.0875,1.69999
-4.08625,1.70369
-4.085,1.70369
-4.08375,1.70739
-4.0825,1.71109
-4.08125,1.71109
-4.08,1.71109
-4.07875,1.71109
-4.0775,1.71109
-4.07625,1.70739
-4.075,1.70739
-4.07375,1.70369
-4.0725,1.70369
-4.07125,1.69629
-4.07,1.69999
-4.06875,1.70739
-4.0675,1.71479
-4.06625,1.71479
-4.065,1.71479
-4.06375,1.71849
-4.0625,1.68519
-4.06125,1.67039
-4.06,1.70739
-4.05875,1.70369
-4.0575,1.70369
-4.05625,1.70369
-4.055,1.69999
-4.05375,1.69999
-4.0525,1.70369
-4.05125,1.70739
-4.05,1.70739
-4.04875,1.71109
-4.0475,1.71109
