data_collector,person_id,side,mkey,mvalue,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,left,arm.reach,78.28,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,NA,arm.span,62.5,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,right,foot.length,9.5,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,left,foot.length,9.25,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,right,floor.kneepit,16.5,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,left,floor.kneepit,16.75,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,right,floor.hip,35.5,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,left,floor.hip,35.5,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,NA,floor.navel,37,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,right,floor.armpit,49,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,left,floor.armpit,50,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,NA,height,64,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,NA,head.height,13,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,NA,head.circumference,23,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,right,hand.length,7.5,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,left,hand.length,7.5,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,right,hand.width,8.5,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,left,hand.width,8.25,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,right,hand.elbow,17.5,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,left,hand.elbow,17.5,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,right,elbow.armpit,10.75,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,left,elbow.armpit,10.5,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,right,arm.reach,80,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,left,arm.reach,79,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,NA,arm.span,65.5,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,right,foot.length,9,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,left,foot.length,9.25,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,right,floor.kneepit,17.25,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,left,floor.kneepit,17.5,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,right,floor.hip,36.25,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,left,floor.hip,36,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,NA,floor.navel,39,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,right,floor.armpit,50,,,,,,,,,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,left,floor.armpit,50,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,NA,height,67,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,NA,head.height,9,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,NA,head.circumference,23,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,right,hand.length,7.25,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,left,hand.length,7.25,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,right,hand.width,8.25,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,left,hand.width,8.25,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,right,hand.elbow,16.5,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,left,hand.elbow,16.5,,,,,,,,,
